,개인,외국인,기관
2020-12-02,"-2,447 ","5,176 ","-2,507 "
2020-12-01,"-3,461 ",735 ,"2,676 "
2020-11-30,"22,206 ","-24,278 ","2,048 "
2020-11-27,"1,945 ",785 ,"-2,794 "
2020-11-26,"2,569 ","2,539 ","-5,188 "
2020-11-25,"5,062 ",-369 ,"-4,001 "
2020-11-24,-245 ,"7,263 ","-6,941 "
2020-11-23,"-8,735 ","9,834 ",-600 
2020-11-20,"1,216 ","1,039 ","-2,264 "
2020-11-19,"2,017 ","1,063 ","-3,016 "
2020-11-18,"-1,268 ",676 ,780 
2020-11-17,"1,531 ","3,575 ","-5,038 "
2020-11-16,"-1,539 ","4,617 ","-2,856 "
2020-11-13,"-5,896 ","5,215 ",948 
2020-11-12,"3,537 ","4,912 ","-8,608 "
2020-11-11,"-11,907 ","8,162 ","4,019 "
2020-11-10,"1,872 ","1,567 ","-3,283 "
2020-11-09,"-6,789 ","3,291 ","3,564 "
2020-11-06,"-7,975 ","7,907 ",-44 
2020-11-05,"-16,218 ","11,349 ","4,862 "
2020-11-04,"-1,661 ","-2,180 ","3,427 "
2020-11-03,"-6,472 ","2,138 ","4,694 "
2020-11-02,"-1,086 ",507 ,487 
2020-10-30,"14,140 ","-9,780 ","-4,438 "
2020-10-29,"9,814 ","-5,377 ","-4,755 "
2020-10-28,"1,532 ",133 ,"-1,767 "
2020-10-27,"1,069 ","1,046 ","-2,497 "
2020-10-26,"-1,127 ","-1,437 ","2,718 "
2020-10-23,"-2,723 ",388 ,"2,334 "
2020-10-22,679 ,-734 ,76 
2020-10-21,"-1,283 ",-246 ,"1,426 "
2020-10-20,"-2,925 ",437 ,"2,605 "
2020-10-19,"-3,424 ",344 ,"2,968 "
2020-10-16,"4,892 ","-1,710 ","-2,036 "
2020-10-15,"3,282 ",-184 ,"-1,169 "
2020-10-14,"4,128 ",-345 ,"-3,757 "
2020-10-13,-332 ,"2,137 ","-1,774 "
2020-10-12,"-2,360 ","1,392 ",845 
2020-10-08,"-1,659 ","7,604 ","-6,150 "
2020-10-07,"-3,460 ",-953 ,"4,302 "
2020-10-06,"-2,045 ","1,726 ",198 
2020-10-05,"-5,500 ","1,740 ","3,852 "
2020-09-29,"-1,114 ",-736 ,"1,424 "
2020-09-28,"-1,056 ",-589 ,"1,502 "
2020-09-25,195 ,-898 ,728 
2020-09-24,"3,289 ","-1,922 ","-1,571 "
2020-09-23,"3,252 ",-577 ,"-2,804 "
2020-09-22,"9,913 ",-143 ,"-7,691 "
2020-09-21,410 ,-783 ,392 
2020-09-18,"-1,405 ","1,473 ",-158 
2020-09-17,"4,587 ","-1,244 ","-3,358 "
2020-09-16,"1,432 ","1,792 ","-3,051 "
2020-09-15,-765 ,"2,532 ","-2,002 "
2020-09-14,"-2,876 ","1,427 ","1,074 "
2020-09-11,"4,533 ","-1,498 ","-3,110 "
2020-09-10,663 ,"3,818 ","-4,721 "
2020-09-09,"5,129 ","-1,116 ","-4,298 "
2020-09-08,358 ,-299 ,-209 
2020-09-07,"5,483 ","-2,508 ","-2,976 "
2020-09-04,"12,854 ","-4,678 ","-7,798 "
2020-09-03,-952 ,"1,939 ","-1,351 "
2020-09-02,"3,342 ","-2,560 ",-799 
2020-09-01,"2,390 ","-2,058 ",-566 
2020-08-31,"15,696 ","-16,326 ",-66 
2020-08-28,"1,158 ","-2,242 ","1,225 "
2020-08-27,"4,664 ",-245 ,"-4,726 "
2020-08-26,"1,929 ","1,910 ","-4,125 "
2020-08-25,-709 ,"1,570 ","-1,233 "
2020-08-24,"-2,600 ","1,976 ",41 
2020-08-21,"-1,362 ","1,970 ",-334 
2020-08-20,"10,739 ","-2,728 ","-8,214 "
2020-08-19,"4,584 ","-2,665 ","-2,022 "
2020-08-18,"-5,272 ",733 ,"4,761 "
2020-08-14,"5,963 ","-4,619 ","-1,244 "
2020-08-13,"1,543 ","-3,421 ","1,873 "
2020-08-12,"3,509 ","-1,538 ","-2,025 "
2020-08-11,"-1,737 ","1,468 ",386 
2020-08-10,"3,523 ","-1,278 ","-2,315 "
