,날짜,종가,전월대비 등락률,외국인순매수,개인순매수,기관순매수,시가총액대비,환율,환율 차분
69,2010-10-01,1882.949951171875,0.0054142664022953,18822,4192,-32682,31.7,1132.4000244140625,-0.005969037086788438
70,2010-11-01,1904.6300048828125,0.0115138767748153,12884,-12800,-6954,32.3,1163.0,0.027022231478466135
71,2010-12-01,2051.0,0.0768495690721796,36177,-5537,-21957,33.0,1139.199951171875,-0.02046435840767412
72,2011-01-01,2069.72998046875,0.009132121145173,10143,7410,-7209,32.6,1117.4000244140625,-0.0191361724826158
73,2011-02-01,1939.300048828125,-0.0630178491259451,-17947,8750,18124,32.5,1127.0999755859375,0.008680822409111204
74,2011-03-01,2106.699951171875,0.0863197535857878,16054,-25066,13435,32.5,1098.300048828125,-0.025552237939531926
75,2011-04-01,2192.360107421875,0.0406608241493291,8964,9430,-45000,32.6,1068.800048828125,-0.02685969105753587
76,2011-05-01,2142.469970703125,-0.0227563603943782,-9220,21369,-60,32.6,1075.300048828125,0.006081586548510041
77,2011-06-01,2100.68994140625,-0.0195008704290793,-752,-6242,10287,32.2,1068.9000244140625,-0.00595184983115859
78,2011-07-01,2133.2099609375,0.0154806375230608,-3231,-2265,24269,32.1,1049.0,-0.01861729250588339
79,2011-08-01,1880.1099853515625,-0.1186474750355588,-20552,-4274,-2712,32.0,1071.800048828125,0.02173503224797426
80,2011-09-01,1769.6500244140625,-0.0587518612198876,-10460,-10516,-2095,32.9,1177.0,0.09815259038931522
81,2011-10-01,1909.030029296875,0.0787613386601465,16480,-8272,19500,33.1,1104.0,-0.062022090059473234
82,2011-11-01,1847.510009765625,-0.0322257997973498,-26804,11962,10982,33.0,1140.300048828125,0.03288047901098279
83,2011-12-01,1825.739990234375,-0.0117834379333142,-10281,-7328,9804,32.9,1155.699951171875,0.013505131705971885
84,2012-01-01,1955.7900390625,0.071231418232467,25228,-21043,-9610,33.2,1125.699951171875,-0.02595829477156257
85,2012-02-01,2030.25,0.0380715513681581,32583,-5300,-27387,33.2,1124.5999755859375,-0.0009771481155279474
86,2012-03-01,2014.0400390625,-0.007984219154045,3640,14254,-13693,33.8,1138.0,0.011915369646954542
87,2012-04-01,1981.989990234375,-0.0159133126484634,-236,5966,3509,34.5,1131.699951171875,-0.00553607102647188
88,2012-05-01,1843.469970703125,-0.0698893638281542,-39637,24334,14517,33.9,1179.699951171875,0.0424140691623217
89,2012-06-01,1854.010009765625,0.0057174997314872,-9756,-14971,17623,33.8,1157.0999755859375,-0.019157392999370245
90,2012-07-01,1881.989990234375,0.0150916016210112,1034,-4896,16486,34.2,1136.5999755859375,-0.01771670593080699
91,2012-08-01,1905.1199951171875,0.0122901848590236,20461,-24497,-1288,34.1,1133.5999755859375,-0.0026394510508883713
92,2012-09-01,1996.2099609375,0.0478132432884939,19508,-1026,-6085,34.4,1115.4000244140625,-0.016055003143827497
93,2012-10-01,1912.06005859375,-0.0421548354083103,-11855,14562,3401,34.3,1090.300048828125,-0.02250311550703338
